,ABCB1,ABCC1,ABCC10,ABCC3,ABCC4,ABCC5,BCL2L1,CASP3,ERCC1,ERCC2,FASLG,GGH,GSTM3,GSTP1,MSH2,MTHFR,RALBP1,SLC19A1,SLC22A1,SOD1,TOP2A,label,cohort
TARGET-40-0A4HMC-01A,7.451735240712922,8.272133721084865,8.708814839674202,8.027260736105806,8.475095581095488,8.32703278586701,8.865444558835987,8.653563121447224,8.674404842030256,8.09215430136487,6.288835113355002,9.917703776101984,8.489483369424795,12.11461049155081,8.101416537321366,7.364401438553779,8.974137285764973,7.504844682511523,7.387840233120471,12.841626796617865,9.78794748132573,0,TARGET-OS
TARGET-40-0A4I4O-01A,5.848359528269462,8.011941743947572,8.681386894978834,7.744836923542333,6.315441003428425,8.17894917596859,8.344167077394149,9.15018045639573,8.575059978268282,8.031432490360267,5.402637627654038,9.960396424276816,7.899715948655279,12.224315052017328,7.973147952044795,7.512857296261656,8.823186785594752,7.515500841716085,5.961290310941148,12.593101567290994,11.087786702454618,1,TARGET-OS
TARGET-40-0A4I65-01A,7.615362184462808,8.42722583660776,8.388309981106563,7.470342631284583,7.305749010393064,8.41264359785599,8.67712716180222,9.229874351265543,8.68264871645857,8.29625100661242,5.776380225334691,10.385319344335258,8.31194879092924,12.785608159873476,8.362121592524383,7.451206068735362,8.905718188594358,7.789203989839103,7.0738113134406735,12.82056516355482,10.827798558058957,0,TARGET-OS
TARGET-40-PAKXLD-01A,7.382626248320927,8.066095028881417,7.199609731033972,5.8919066660148705,7.591195740035071,7.907264205844679,7.639648401256776,8.532651147574201,8.11881432617041,7.516506015373656,5.4265753443774045,8.620116086873153,7.949723585041491,11.750277310592397,7.295783548431159,6.886204747289881,8.478700784397565,7.304777598182691,4.554474373978156,12.816658501701136,10.068424205338305,0,TARGET-OS
TARGET-40-PALWWX-01A,6.191936985468671,8.115597186461292,8.66992129072357,7.340829402577233,8.528510347304522,8.408956328970913,8.507739756878562,9.572229983201389,8.704915564608566,8.465968128277815,5.844042242334986,10.363002724047536,8.798604697902963,11.765328382429418,8.509808184600073,7.801677357073124,9.221359193514113,7.877846401287626,6.132889494399125,13.351127351024184,10.417943967261744,1,TARGET-OS
TARGET-40-0A4I9K-01A,6.308539777771159,7.9856185246475855,8.410747213869683,7.592407133911318,7.620721422958015,8.587898063718933,8.377626180699496,9.183828570224296,8.864976387605207,8.250831549958196,5.555677917994217,9.418123581860772,8.070752720989764,12.33096939973228,8.233688575758153,6.997944923840942,8.705326055695044,7.500554811695181,7.300867701779633,12.88344894029084,9.916203869559792,0,TARGET-OS
TARGET-40-PAKFVX-01A,6.1005668515011715,7.877495785237325,8.158573314011354,7.60655222486786,6.935753616973408,8.64800272746526,8.817634136895581,8.934570513962429,9.265378440969888,8.118396535114893,5.623339934994513,10.08184326087905,9.143928820741207,12.572717457459284,8.154507007069638,7.555309089035158,8.926769242260685,6.901827238816375,8.297678930857582,12.989967457685305,10.1376559762272,1,TARGET-OS
TARGET-40-0A4HY5-01A,5.979962530940389,8.376493856674925,8.264811389825889,7.519824663096726,8.53969886997966,8.455932060041405,8.163526126508996,9.046175926384178,8.798041946085904,8.151168283384663,6.243270928345475,9.952536838654588,8.110446835799076,12.49290412781127,8.113838333884905,7.229689637599045,9.056218030192785,8.363543558475344,5.429449646707886,13.316808059595418,10.989088235187806,0,TARGET-OS
TARGET-40-PANZHX-01A,8.01579975441182,7.879907875377476,8.45235161456125,7.929835510095611,7.716593624132797,8.551847492574918,8.95264559976326,9.061496521824775,8.806652234365373,9.002323066927369,6.410782192037719,10.283551871432833,9.059772184787892,12.463295418519362,8.448485494551768,7.085863237496243,8.589615294308647,7.486669430404402,8.109205961944943,13.3112224311641,10.410704030459415,0,TARGET-OS
TARGET-40-0A4I5B-01A,7.75479357536906,8.037882661360294,8.362518197179249,7.334018905787366,7.33327233483383,8.927433688495265,8.525539434297297,9.40701916336647,8.553675530466503,7.899575475304925,6.58506171676983,10.526968374194388,8.702256184895415,12.00353038145762,8.466475374291257,8.033344967395816,9.103500040615186,7.596780437357337,6.818823265322422,12.920659265168888,10.999831495682091,1,TARGET-OS
TARGET-40-PAMEKS-01A,5.519034083587152,7.612930655942314,7.892959663776481,5.777950251577058,8.066810362472193,8.036548701013297,7.510750514527045,9.212133244288864,8.075781197589281,7.726004551693113,5.20587303703693,9.418123581860772,7.527867407577615,11.399005928421472,7.901927025708486,6.304422247292967,8.835289614978816,7.470755989248179,5.843213150798652,12.627922311569854,10.439479843528588,0,TARGET-OS
